201609220946;10553.3;10556.6;10553;10556.6;55
201609220947;10556.9;10559.1;10554.6;10555.4;61
201609220948;10555.2;10558;10551.7;10557.3;64
201609220949;10557.1;10564.5;10555.2;10562.3;91
201609220950;10562.2;10562.2;10558;10558.8;67
201609220951;10559.1;10563.7;10558.6;10563.7;55
201609220952;10564;10564.2;10559.7;10562.4;63
201609220953;10561.9;10571.6;10560.7;10569.6;117
201609220954;10569.4;10570.1;10565.6;10567.4;93
201609220955;10567.6;10571.4;10566.6;10569.4;60
201609220956;10569.9;10571.4;10567.9;10567.9;53
201609220957;10568.1;10579.4;10567.9;10576;139
201609220958;10575.5;10578;10573.5;10574.2;91
201609220959;10574;10577.5;10573.3;10577.5;83
201609221000;10577.2;10581;10574.3;10574.8;90
201609221001;10574.7;10574.9;10572.2;10574.6;71
201609221002;10574.3;10576.7;10574.2;10576;55
201609221003;10576.7;10577.4;10574.4;10575.3;54
201609221004;10575.5;10578.8;10574.5;10578.4;77
201609221005;10578.7;10579.9;10571.8;10572.4;82
201609221006;10572.9;10574.7;10570.6;10574.4;81
201609221007;10574.7;10574.7;10570;10571;69
201609221008;10571.2;10571.7;10562.9;10563.4;99
201609221009;10563.9;10565.1;10562.3;10563.6;75
201609221010;10563.4;10565.2;10562.4;10564.4;51
201609221011;10565.1;10566.6;10564.1;10565.5;49
201609221012;10565.8;10566.4;10563.4;10565.9;40
201609221013;10565.4;10565.7;10562.9;10564.7;39
201609221014;10565.2;10565.2;10560;10561.1;50
201609221015;10560.8;10564.6;10559.6;10563.7;67
201609221016;10563.9;10564.9;10559.7;10561.8;50
201609221017;10562;10563;10561;10562.3;41
201609221018;10562.5;10563.3;10558;10558.5;42
201609221019;10559;10559;10553;10554;66
201609221020;10554.2;10557.5;10553.5;10555.8;60
201609221021;10555.5;10557.6;10554.4;10557.1;57
201609221022;10557.4;10557.9;10555.3;10555.6;52
201609221023;10555.1;10557;10554.3;10555.3;46
201609221024;10556.1;10559.9;10554.8;10559.6;51
201609221025;10559.8;10560.4;10558.1;10559.4;40
201609221026;10559.9;10561.1;10558.9;10559.6;32
201609221027;10559.4;10559.9;10557.9;10559.5;39
201609221028;10559.7;10561.2;10559.7;10560.5;24
201609221029;10560.7;10563;10560.7;10562.9;36
201609221030;10562.6;10567.7;10562.6;10566.9;50
201609221031;10567.2;10571.9;10566.9;10568.9;67
201609221032;10568.6;10572.1;10568.6;10570.9;59
201609221033;10570.6;10571.9;10569;10570.5;27
201609221034;10570.8;10572.1;10567.2;10567.2;63
201609221035;10567.4;10569.7;10566.7;10569.7;31
201609221036;10569.4;10571.6;10568.2;10570.6;50
201609221037;10570.3;10572.1;10569.3;10570.2;37
201609221038;10570.7;10572.2;10566.7;10567.2;30
201609221039;10566.4;10568.4;10565.8;10567.3;43
201609221040;10566.8;10568.3;10562.5;10562.8;45
201609221041;10562.3;10564.4;10559.1;10563.2;80
201609221042;10562.9;10564.4;10562.6;10562.9;49
201609221043;10562.1;10562.9;10560.8;10562.1;24
201609221044;10561.8;10563.4;10561.3;10562.2;29
201609221045;10561.9;10563.7;10561.7;10562.5;34
201609221046;10561.9;10562.9;10561.6;10562;28
201609221047;10562.3;10565;10561.8;10564.7;24
201609221048;10564;10566;10563.7;10564.6;31
201609221049;10563.6;10566.1;10562.6;10564.3;33
201609221050;10563.5;10564;10562.3;10562.6;24
